Afghanistan	Pakistan	60200
Belgium	Seychelles	18
Belgium	Singapore	10371
Belgium	Slovakia	10
Belgium	Slovenia	1
Belgium	Solomon Islands	1506
Belgium	South Africa	2975
Belgium	Spain	43571
Belgium	Sri Lanka	382
Belgium	Sweden	1619
Belgium	Switzerland	354
Belgium	Syrian Arab Republic	8
Belgium	Thailand	1358
Belgium	Togo	39
Belgium	Tunisia	10137
Belgium	Turkey	5269
Belgium	Ukraine	5218
Belgium	United Arab Emirates	1605
Belgium	United Kingdom	70645
Belgium	United Republic of Tanzania	211
Belgium	United States of America	16974
Belgium	Uruguay	206
Belgium	Vanuatu	10251
Belgium	Viet Nam	7
Belize	Canada	346
Belize	China	1
Belize	Chinese Taipei	1
Belize	El Salvador	446
Belize	Guatemala	2853
Belize	Jamaica	1
Belize	Mexico	1393
Belize	Netherlands	78
Belize	Singapore	246
Belize	Spain	14
Belize	Thailand	1
Belize	United Kingdom	109
Belize	United States of America	2613
Bermuda	Austria	1
Bermuda	Bulgaria	1
Bermuda	Canada	509
Bermuda	France	3
Bermuda	Italy	259
Bermuda	Philippines	1
Bermuda	Trinidad and Tobago	28
Bermuda	United Kingdom	38
Bermuda	United States of America	1509
Bhutan	Australia	7
Bhutan	Denmark	4
Bhutan	India	11137
Bhutan	Indonesia	4146
Bhutan	Malaysia	244
Bhutan	Nepal	127
Bhutan	Singapore	6700
Bhutan	Thailand	21
Bolivia	Argentina	3715
Bolivia	Brazil	193
Bolivia	Chile	14
Bolivia	China	3
Bolivia	Chinese Taipei	3
Bolivia	Colombia	1217
Bolivia	Denmark	10
Bolivia	France	10
Bolivia	Germany	163
Bolivia	Honduras	45
Bolivia	Italy	56
Bolivia	Malaysia	423
Bolivia	Netherlands	99
Bolivia	Paraguay	1658
Bolivia	Peru	449
Bolivia	Portugal	34
Bolivia	Spain	453
Bolivia	Sweden	50
Bolivia	United States of America	102
Bolivia	Uruguay	11
Bosnia and Herzegovina	Austria	731
Bosnia and Herzegovina	Belgium	302
Bosnia and Herzegovina	Brazil	35
Bosnia and Herzegovina	Bulgaria	92
Bosnia and Herzegovina	Croatia	21718
Bosnia and Herzegovina	Czech Republic	245
Bosnia and Herzegovina	Denmark	158
Bosnia and Herzegovina	Egypt	162
Bosnia and Herzegovina	France	43
Bosnia and Herzegovina	Germany	1121
Bosnia and Herzegovina	Greece	8
Bosnia and Herzegovina	Hungary	29163
Bosnia and Herzegovina	India	38
Bosnia and Herzegovina	Indonesia	11
Bosnia and Herzegovina	Italy	4724
Bosnia and Herzegovina	Malaysia	1040
Bosnia and Herzegovina	Montenegro	6
Bosnia and Herzegovina	Netherlands	2435
Bosnia and Herzegovina	Norway	10
Bosnia and Herzegovina	Pakistan	46
Bosnia and Herzegovina	Poland	485
Bosnia and Herzegovina	Russian Federation	29
Bosnia and Herzegovina	Serbia	22998
Bosnia and Herzegovina	Slovakia	4
Bosnia and Herzegovina	Slovenia	578
Bosnia and Herzegovina	Spain	1314
Bosnia and Herzegovina	Sweden	232
Bosnia and Herzegovina	The former Yugoslav Republic of Macedonia	343
Bosnia and Herzegovina	Tunisia	120
Bosnia and Herzegovina	Turkey	1602
Bosnia and Herzegovina	Ukraine	4764
Bosnia and Herzegovina	United Kingdom	1
Bosnia and Herzegovina	United States of America	7
Brazil	Argentina	67312
Brazil	Australia	8130
Brazil	Belgium	670
Brazil	Bolivia	8409
Brazil	Canada	40
Brazil	Chile	2666
Brazil	China	1360
Brazil	Chinese Taipei	3
Brazil	Colombia	47692
Brazil	Denmark	17040
Brazil	Ecuador	61
Brazil	France	3795
Brazil	Germany	2697
Brazil	Greece	2014
Brazil	Iceland	151
Brazil	India	8638
Brazil	Indonesia	175576
Brazil	Israel	19
Brazil	Italy	16214
Brazil	Japan	644
Brazil	Kenya	79
Brazil	Lebanon	72
Brazil	Malaysia	88425
Brazil	Mexico	398
Brazil	Netherlands	6422
Brazil	Norway	17
Brazil	Paraguay	25661
Brazil	Peru	103
Brazil	Philippines	53
Brazil	Portugal	132847
Brazil	Singapore	11651
Brazil	South Africa	131
Brazil	Spain	54578
Brazil	Sweden	389
Brazil	Switzerland	2785
Brazil	Syrian Arab Republic	85
Brazil	Tunisia	482
Brazil	Turkey	272
Brazil	United Arab Emirates	32
Brazil	United Kingdom	1562
Brazil	United States of America	23276
Brazil	Uruguay	30819
Brazil	Venezuela	8
British Virgin Islands	Barbados	14
British Virgin Islands	Brazil	43
British Virgin Islands	Canada	128
British Virgin Islands	Indonesia	41
British Virgin Islands	Italy	4
British Virgin Islands	Malaysia	372
British Virgin Islands	Netherlands	28
British Virgin Islands	Ukraine	49490
British Virgin Islands	United States of America	151
Bulgaria	Austria	329
Bulgaria	Belarus	91
Bulgaria	Belgium	2675
Bulgaria	Canada	12
Bulgaria	China	310
Bulgaria	Croatia	352
Bulgaria	Cyprus	364
Bulgaria	Czech Republic	103
Bulgaria	Denmark	2785
Bulgaria	Egypt	485
Bulgaria	Finland	39
Bulgaria	France	371
Bulgaria	Germany	3167
Bulgaria	Ghana	15
Bulgaria	Greece	41840
Bulgaria	Hungary	4199
Bulgaria	India	30
Bulgaria	Indonesia	6879
Bulgaria	Italy	3854
Bulgaria	Japan	7
Bulgaria	Lebanon	2
Bulgaria	Lithuania	1060
Bulgaria	Malaysia	14209
Bulgaria	Mexico	1
Bulgaria	Netherlands	3375
Bulgaria	Philippines	122
Bulgaria	Poland	2370
Bulgaria	Portugal	14
Bulgaria	Republic of Moldova	122
Bulgaria	Romania	32313
Bulgaria	Russian Federation	3
Bulgaria	Serbia	8437
Bulgaria	Singapore	140
Bulgaria	Slovakia	21
Bulgaria	Spain	3109
Bulgaria	Sri Lanka	625
Bulgaria	Sweden	5781
Bulgaria	Syrian Arab Republic	6
Bulgaria	Thailand	9
Bulgaria	Turkey	1566
Bulgaria	Ukraine	15383
Bulgaria	United Arab Emirates	10
Bulgaria	United Kingdom	32
Bulgaria	United States of America	1252
Bulgaria	Viet Nam	9
Burundi	Belgium	72
Burundi	China	41
Burundi	Egypt	19
Burundi	Italy	247
Burundi	Kenya	154
Burundi	Malaysia	65
Burundi	Singapore	159
Burundi	South Africa	15
Burundi	Uganda	2536
Burundi	United Arab Emirates	74
Burundi	United Republic of Tanzania	1160
Canada	Algeria	43
Canada	Antigua and Barbuda	123
Canada	Argentina	4143
Canada	Australia	476
Canada	Austria	64
Canada	Bangladesh	11
Canada	Belgium	361
Canada	Bolivia	794
Canada	Brazil	1311
Canada	Burkina Faso	71
Canada	Cameroon	5
Canada	Chile	2316
Canada	China	6163
Canada	Chinese Taipei	1140
Canada	Colombia	520
Canada	Croatia	24
Canada	Czech Republic	1579
Canada	Denmark	216
Canada	Ecuador	4349
Canada	Egypt	14
Canada	Fiji	31
Canada	Finland	33
Canada	France	2591
Canada	French Polynesia	17
Canada	Germany	2289
Canada	Ghana	233
Canada	Greece	13420
Canada	Guinea	1
Canada	Haiti	50
Canada	Hong Kong (SARC)	512
Canada	Hungary	1
Canada	Iceland	195
Canada	India	8224
Canada	Indonesia	1714
Canada	Ireland	1
Canada	Israel	354
Canada	Italy	114745
Canada	Jamaica	8
Canada	Japan	4570
Canada	Jordan	59
Canada	Kenya	42
Canada	Kiribati	1
Canada	Lebanon	1622
Canada	Lithuania	8
Canada	Malaysia	97353
Canada	Mexico	2126
Canada	Morocco	4547
Canada	Netherlands	11538
Canada	New Zealand	132
Canada	Nigeria	11
Canada	Norway	5103
Canada	Oman	16
Canada	Pakistan	3
Canada	Peru	45432
Canada	Philippines	17324
Canada	Poland	81
Canada	Portugal	1938
Canada	Republic of Korea	225
Canada	Russian Federation	54
Canada	Saudi Arabia	4
Canada	Senegal	3
Canada	Serbia	13
Canada	Singapore	588
Canada	Slovenia	31
Canada	Solomon Islands	80
Canada	South Africa	20
Canada	Spain	8728
Canada	Sri Lanka	187
Canada	Swaziland	9
Canada	Sweden	107
Canada	Switzerland	1030
Canada	Syrian Arab Republic	1039
Canada	Thailand	705
Canada	The former Yugoslav Republic of Macedonia	3
Canada	Togo	53
Canada	Trinidad and Tobago	11
Canada	Tunisia	5065
Canada	Turkey	11399
Canada	Ukraine	64
Canada	United Arab Emirates	309
Canada	United Kingdom	1314
Canada	United States of America	575541
Canada	Uruguay	5
Canada	Venezuela	7
Canada	Viet Nam	15
Cayman Islands	Brazil	27
Cayman Islands	Jamaica	11
Cayman Islands	Spain	6
Cayman Islands	United Kingdom	8
Cayman Islands	United States of America	899
Chad	Belgium	18
Chad	France	80
Chad	Germany	27
Chad	Indonesia	191
Chad	Italy	83
Chad	Kenya	183
Chad	Netherlands	55
Chad	Poland	2
Chad	South Africa	1
Chad	Spain	394
Chad	United States of America	300
Chile	Argentina	399861
Chile	Australia	59
Chile	Belgium	211
Chile	Bolivia	5252
Chile	Brazil	8845
Chile	Canada	12146
Chile	China	47
Chile	Chinese Taipei	26
Chile	Colombia	15777
Chile	Denmark	758
Chile	Ecuador	24286
Chile	Finland	1
Chile	France	413
Chile	Germany	181
Chile	Greece	2
Chile	Iceland	4
Chile	India	172
Chile	Indonesia	1588
Chile	Italy	2341
Chile	Japan	1
Chile	Malaysia	8135
Chile	Mexico	13900
Chile	Netherlands	65
Chile	Norway	1
Chile	Pakistan	1
Chile	Paraguay	238
Chile	Peru	89713
Chile	Philippines	87
Chile	Portugal	100
Chile	Republic of Korea	10
Chile	Singapore	1031
Chile	Spain	1559
Chile	Sweden	2117
Chile	Switzerland	112
Chile	Syrian Arab Republic	14
Chile	Thailand	32
Chile	Turkey	8
Chile	United Kingdom	237
Chile	United States of America	7537
Chile	Uruguay	5445
China	Argentina	2216957
China	Australia	276216
China	Austria	26
China	Belgium	1852
China	Brazil	934474
China	Canada	330080
China	Chile	17147
China	Chinese Taipei	17906
China	Denmark	61
China	France	14425
China	French Polynesia	8
China	Germany	9361
China	Ghana	410
China	Greece	6947
China	Hong Kong (SARC)	3487
China	Hungary	16
China	Iceland	825
China	India	130007
China	Indonesia	2375521
China	Ireland	1
China	Israel	245
China	Italy	22045
China	Japan	6686
China	Jordan	58
China	Kazakhstan	14
China	Kenya	80
China	Lithuania	316
China	Malaysia	3873449
China	Mauritius	112
China	Mexico	339
China	Morocco	432
China	Namibia	1239
China	Nepal	388
China	Netherlands	12569
China	New Zealand	105360
China	Norway	3960
China	Pakistan	70
China	Papua New Guinea	5969
China	Peru	9997
China	Philippines	46205
China	Portugal	1366
China	Republic of Korea	3718
China	Romania	538
China	Russian Federation	21
China	Singapore	7768
China	Slovakia	6
China	Slovenia	4
China	South Africa	2577
China	Spain	24488
China	Sri Lanka	376
China	Sweden	1110
China	Switzerland	3741
China	Syrian Arab Republic	319
China	Thailand	42714
China	Tunisia	222
China	Turkey	3264
China	United Arab Emirates	8075
China	United Kingdom	730
China	United States of America	256186
China	Uruguay	385
China	Viet Nam	13841
Chinese Taipei	Argentina	24599
Chinese Taipei	Australia	61976
Chinese Taipei	Austria	126
Chinese Taipei	Belgium	3402
Chinese Taipei	Belize	45
Chinese Taipei	Brazil	1637
Chinese Taipei	Canada	17404
Chinese Taipei	Chile	4242
Chinese Taipei	China	6138
Chinese Taipei	Colombia	9
Chinese Taipei	Denmark	530
Chinese Taipei	Ecuador	330
Chinese Taipei	Finland	135
Chinese Taipei	France	617
Chinese Taipei	Germany	2463
Chinese Taipei	Ghana	7
Chinese Taipei	Greece	686
Chinese Taipei	Hong Kong (SARC)	1156
Chinese Taipei	Iceland	10
Chinese Taipei	India	5273
Chinese Taipei	Indonesia	4348
Chinese Taipei	Israel	34
Chinese Taipei	Italy	19919
Chinese Taipei	Japan	5363
Chinese Taipei	Kenya	4
Chinese Taipei	Kiribati	2322
Chinese Taipei	Malaysia	147679
Chinese Taipei	Mexico	438
Chinese Taipei	Mongolia	47
Chinese Taipei	Morocco	5
Chinese Taipei	Namibia	5
Chinese Taipei	Netherlands	1990
Chinese Taipei	New Zealand	12788
Chinese Taipei	Norway	178
Chinese Taipei	Peru	20
Chinese Taipei	Philippines	6529
Chinese Taipei	Portugal	3
Chinese Taipei	Republic of Korea	105
Chinese Taipei	Russian Federation	8
Chinese Taipei	Singapore	7050
Chinese Taipei	Solomon Islands	451
Chinese Taipei	South Africa	22
Chinese Taipei	Spain	7100
Chinese Taipei	Sweden	348
Chinese Taipei	Switzerland	52
Chinese Taipei	Thailand	1180
Chinese Taipei	Turkey	1014
Chinese Taipei	United Kingdom	465
Chinese Taipei	United States of America	30061
Chinese Taipei	Viet Nam	15148
Christmas Islands	Spain	1
Cocos (Keeling) Islands	Australia	27
Colombia	Argentina	85515
Colombia	Belgium	664
Colombia	Bolivia	123280
Colombia	Brazil	28681
Colombia	Canada	14448
Colombia	Chile	2685
Colombia	China	205
Colombia	Chinese Taipei	8
Colombia	Costa Rica	27
Colombia	Czech Republic	2
Colombia	Denmark	19
Colombia	Dominican Republic	123
Colombia	Ecuador	35245
Colombia	France	389
Colombia	Germany	302
Colombia	Greece	17
Colombia	Iceland	351
Colombia	India	513
Colombia	Indonesia	50
Colombia	Italy	1616
Colombia	Japan	7
Colombia	Lebanon	7
Colombia	Malaysia	1890
Colombia	Mexico	591
Colombia	Morocco	20
Colombia	Netherlands	372
Colombia	Norway	10
Colombia	Panama	6
Colombia	Paraguay	371
Colombia	Peru	2888
Colombia	Singapore	48
Colombia	Spain	7674
Colombia	Switzerland	31
Colombia	United Kingdom	523
Colombia	United States of America	109572
Colombia	Uruguay	79
Congo	Argentina	97
Congo	Belgium	24
Congo	China	55
Congo	France	1078
Congo	Germany	7
Congo	India	8
Congo	Indonesia	4381
Congo	Italy	219
Congo	Lebanon	61
Congo	Malaysia	26875
Congo	Morocco	33
Congo	Netherlands	1099
Congo	Portugal	6
Congo	Senegal	5
Congo	South Africa	25
Congo	Spain	84
Congo	Tunisia	3032
Congo	Uganda	423
Congo	United Arab Emirates	30
Congo	United States of America	19
Congo	Zambia	20
Costa Rica	Argentina	4946
Costa Rica	Armenia	36
Costa Rica	Australia	176
Costa Rica	Belgium	279
Costa Rica	Bolivia	2716
Costa Rica	Brazil	621
Costa Rica	Canada	801
Costa Rica	Chile	17
Costa Rica	China	99
Costa Rica	Chinese Taipei	30
Costa Rica	Cocos (Keeling) Islands	1
Costa Rica	Colombia	243
Costa Rica	Denmark	568
Costa Rica	Dominican Republic	740
Costa Rica	El Salvador	3
Costa Rica	France	140
Costa Rica	Germany	188
Costa Rica	Greece	44
Costa Rica	Guatemala	3323
Costa Rica	Honduras	3006
Costa Rica	Hong Kong (SARC)	2
Costa Rica	Iceland	17
Costa Rica	India	1
Costa Rica	Israel	1
Costa Rica	Italy	1794
Costa Rica	Malaysia	2458
Costa Rica	Mexico	619
Costa Rica	Netherlands	322
Costa Rica	Nicaragua	55
Costa Rica	Panama	2542
Costa Rica	Portugal	3
Costa Rica	Spain	2925
Costa Rica	United Kingdom	37
Costa Rica	United States of America	11794
Costa Rica	Uruguay	9
Croatia	Argentina	5322
Croatia	Austria	2770
Croatia	Belgium	665
Croatia	Bosnia and Herzegovina	23613
Croatia	Brazil	788
Croatia	Chile	2
Croatia	China	22
Croatia	Czech Republic	845
Croatia	Denmark	665
Croatia	Egypt	143
Croatia	France	659
Croatia	Germany	8041
Croatia	Ghana	1
Croatia	Greece	1444
Croatia	Hungary	10098
Croatia	Iceland	8
Croatia	India	156
Croatia	Indonesia	154
Croatia	Israel	6
Croatia	Italy	16740
Croatia	Japan	30
Croatia	Kenya	1
Croatia	Madagascar	1
Croatia	Malaysia	7036
Croatia	Mexico	7
Croatia	Morocco	2
Croatia	Netherlands	2734
Croatia	New Zealand	13
Croatia	Norway	11
Croatia	Peru	2
Croatia	Philippines	80
Croatia	Poland	421
Croatia	Portugal	1
Croatia	Republic of Korea	1
Croatia	Serbia	13636
Croatia	Singapore	144
Croatia	Slovakia	3
Croatia	Slovenia	9350
Croatia	South Africa	3
Croatia	Spain	2345
Croatia	Sweden	4421
Croatia	Switzerland	112
Croatia	Thailand	34
Croatia	The former Yugoslav Republic of Macedonia	99
Croatia	Tunisia	1051
Croatia	Turkey	112
Croatia	Ukraine	11656
Croatia	United Kingdom	36
Croatia	United States of America	749
Cyprus	Australia	12
Cyprus	Bangladesh	5
Cyprus	Belgium	5798
Cyprus	Brazil	15299
Cyprus	Bulgaria	54
Cyprus	China	1294
Cyprus	France	4453
Cyprus	Germany	1166
Cyprus	Greece	5693
Cyprus	Hong Kong (SARC)	3
Cyprus	Indonesia	116
Cyprus	Israel	92
Cyprus	Italy	711
Cyprus	Lebanon	51
Cyprus	Macao (SAR)	116
Cyprus	Malaysia	971
Cyprus	Morocco	159
Cyprus	Netherlands	10256
Cyprus	Norway	16
Cyprus	Poland	21
Cyprus	Portugal	236
Cyprus	Romania	2
Cyprus	Russian Federation	3795
Cyprus	Singapore	16
Cyprus	South Africa	4
Cyprus	Spain	3264
Cyprus	Sweden	1392
Cyprus	Syrian Arab Republic	2
Cyprus	Thailand	12
Cyprus	Ukraine	2745
Cyprus	United Kingdom	5358
Cyprus	United States of America	792
Czech Republic	Argentina	2
Czech Republic	Australia	15
Czech Republic	Austria	15630
Czech Republic	Belarus	332
Czech Republic	Belgium	10744
